Sat Jun  8 21:25:59 2013, (0 clock):	Start log file
Sat Jun  8 21:25:59 2013, (0 clock):	Inequality on param.dimensions cause width recalculation
Sat Jun  8 21:25:59 2013, (0 clock):	Some of the parameters in the given file were wrong - using default ones.
Sat Jun  8 21:25:59 2013, (0 clock):	Parameters loaded.
Sat Jun  8 21:25:59 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 10000
    length: 100
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Sat Jun  8 21:59:29 2013, (1931120000 clock):	100000 evaluated; 0 wrong controls; 24062 violate mass constrain.
Sat Jun  8 21:59:49 2013, (1950120000 clock):	101000 evaluated; 0 wrong controls; 24279 violate mass constrain.
Sat Jun  8 22:00:10 2013, (1969990000 clock):	102000 evaluated; 0 wrong controls; 24528 violate mass constrain.
Sat Jun  8 22:00:30 2013, (1989320000 clock):	103000 evaluated; 0 wrong controls; 24755 violate mass constrain.
Sat Jun  8 22:00:51 2013, (2009310000 clock):	104000 evaluated; 0 wrong controls; 24991 violate mass constrain.
Sat Jun  8 22:01:12 2013, (2029300000 clock):	105000 evaluated; 0 wrong controls; 25229 violate mass constrain.
Sat Jun  8 22:01:32 2013, (2048260000 clock):	106000 evaluated; 0 wrong controls; 25490 violate mass constrain.
Sat Jun  8 22:01:52 2013, (2066940000 clock):	107000 evaluated; 0 wrong controls; 25757 violate mass constrain.
Sat Jun  8 22:02:12 2013, (2085830000 clock):	108000 evaluated; 0 wrong controls; 26020 violate mass constrain.
Sat Jun  8 22:02:32 2013, (2104730000 clock):	109000 evaluated; 0 wrong controls; 26248 violate mass constrain.
Sat Jun  8 22:02:52 2013, (2123880000 clock):	110000 evaluated; 0 wrong controls; 26505 violate mass constrain.
Sat Jun  8 22:03:12 2013, (2143540000 clock):	111000 evaluated; 0 wrong controls; 26753 violate mass constrain.
Sat Jun  8 22:03:32 2013, (2162990000 clock):	112000 evaluated; 0 wrong controls; 26986 violate mass constrain.
Sat Jun  8 22:03:53 2013, (2182360000 clock):	113000 evaluated; 0 wrong controls; 27215 violate mass constrain.
Sat Jun  8 22:04:12 2013, (2200820000 clock):	114000 evaluated; 0 wrong controls; 27459 violate mass constrain.
Sat Jun  8 22:04:31 2013, (2219490000 clock):	115000 evaluated; 0 wrong controls; 27694 violate mass constrain.
Sat Jun  8 22:04:52 2013, (2238830000 clock):	116000 evaluated; 0 wrong controls; 27935 violate mass constrain.
Sat Jun  8 22:05:12 2013, (2258170000 clock):	117000 evaluated; 0 wrong controls; 28167 violate mass constrain.
Sat Jun  8 22:05:32 2013, (2276970000 clock):	118000 evaluated; 0 wrong controls; 28404 violate mass constrain.
Sat Jun  8 22:05:52 2013, (2295920000 clock):	119000 evaluated; 0 wrong controls; 28652 violate mass constrain.
Sat Jun  8 22:06:12 2013, (2315340000 clock):	120000 evaluated; 0 wrong controls; 28900 violate mass constrain.
Sat Jun  8 22:06:31 2013, (2333850000 clock):	121000 evaluated; 0 wrong controls; 29157 violate mass constrain.
Sat Jun  8 22:06:51 2013, (2352530000 clock):	122000 evaluated; 0 wrong controls; 29398 violate mass constrain.
Sat Jun  8 22:07:10 2013, (2371360000 clock):	123000 evaluated; 0 wrong controls; 29648 violate mass constrain.
Sat Jun  8 22:07:30 2013, (2390630000 clock):	124000 evaluated; 0 wrong controls; 29871 violate mass constrain.
Sat Jun  8 22:07:51 2013, (2410560000 clock):	125000 evaluated; 0 wrong controls; 30080 violate mass constrain.
Sat Jun  8 22:08:11 2013, (2429660000 clock):	126000 evaluated; 0 wrong controls; 30320 violate mass constrain.
Sat Jun  8 22:08:32 2013, (2449240000 clock):	127000 evaluated; 0 wrong controls; 30551 violate mass constrain.
Sat Jun  8 22:08:52 2013, (2467920000 clock):	128000 evaluated; 0 wrong controls; 30824 violate mass constrain.
Sat Jun  8 22:09:09 2013, (2484050000 clock):	129000 evaluated; 0 wrong controls; 31258 violate mass constrain.
Sat Jun  8 22:09:27 2013, (2501890000 clock):	130000 evaluated; 0 wrong controls; 31585 violate mass constrain.
Sat Jun  8 22:09:46 2013, (2520290000 clock):	131000 evaluated; 0 wrong controls; 31844 violate mass constrain.
Sat Jun  8 22:10:05 2013, (2538570000 clock):	132000 evaluated; 0 wrong controls; 32119 violate mass constrain.
Sat Jun  8 22:10:24 2013, (2556820000 clock):	133000 evaluated; 0 wrong controls; 32404 violate mass constrain.
Sat Jun  8 22:10:44 2013, (2575020000 clock):	134000 evaluated; 0 wrong controls; 32654 violate mass constrain.
Sat Jun  8 22:11:03 2013, (2593730000 clock):	135000 evaluated; 0 wrong controls; 32900 violate mass constrain.
Sat Jun  8 22:11:23 2013, (2612510000 clock):	136000 evaluated; 0 wrong controls; 33152 violate mass constrain.
Sat Jun  8 22:11:42 2013, (2631260000 clock):	137000 evaluated; 0 wrong controls; 33383 violate mass constrain.
Sat Jun  8 22:12:02 2013, (2649950000 clock):	138000 evaluated; 0 wrong controls; 33614 violate mass constrain.
Sat Jun  8 22:12:22 2013, (2669110000 clock):	139000 evaluated; 0 wrong controls; 33870 violate mass constrain.
Sat Jun  8 22:12:42 2013, (2688450000 clock):	140000 evaluated; 0 wrong controls; 34098 violate mass constrain.
Sat Jun  8 22:13:02 2013, (2707520000 clock):	141000 evaluated; 0 wrong controls; 34349 violate mass constrain.
Sat Jun  8 22:13:22 2013, (2726750000 clock):	142000 evaluated; 0 wrong controls; 34619 violate mass constrain.
Sat Jun  8 22:13:43 2013, (2745580000 clock):	143000 evaluated; 0 wrong controls; 34867 violate mass constrain.
Sat Jun  8 22:14:03 2013, (2764690000 clock):	144000 evaluated; 0 wrong controls; 35112 violate mass constrain.
Sat Jun  8 22:14:23 2013, (2783570000 clock):	145000 evaluated; 0 wrong controls; 35343 violate mass constrain.
Sat Jun  8 22:14:42 2013, (2802120000 clock):	146000 evaluated; 0 wrong controls; 35573 violate mass constrain.
Sat Jun  8 22:15:02 2013, (2821240000 clock):	147000 evaluated; 0 wrong controls; 35815 violate mass constrain.
Sat Jun  8 22:15:22 2013, (2839730000 clock):	148000 evaluated; 0 wrong controls; 36078 violate mass constrain.
Sat Jun  8 22:15:41 2013, (2858270000 clock):	149000 evaluated; 0 wrong controls; 36329 violate mass constrain.
Sat Jun  8 22:16:01 2013, (2876960000 clock):	150000 evaluated; 0 wrong controls; 36577 violate mass constrain.
Sat Jun  8 22:16:21 2013, (2895610000 clock):	151000 evaluated; 0 wrong controls; 36829 violate mass constrain.
Sat Jun  8 22:16:41 2013, (2914620000 clock):	152000 evaluated; 0 wrong controls; 37090 violate mass constrain.
