Tue Jul  2 12:48:38 2013, (0 clock):	Start log file
Tue Jul  2 12:48:38 2013, (0 clock):	Parameters loaded.
Tue Jul  2 12:48:38 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 2
  type: IDW-CONTROLS
Tue Jul  2 12:48:38 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Tue Jul  2 13:21:41 2013, (1932660000 clock):	127000 evaluated; 0 wrong controls; 66445 violate mass constrain.
Tue Jul  2 13:21:51 2013, (1942360000 clock):	128000 evaluated; 0 wrong controls; 67322 violate mass constrain.
Tue Jul  2 13:22:01 2013, (1952130000 clock):	129000 evaluated; 0 wrong controls; 68202 violate mass constrain.
Tue Jul  2 13:22:11 2013, (1961740000 clock):	130000 evaluated; 0 wrong controls; 69059 violate mass constrain.
Tue Jul  2 13:22:21 2013, (1971610000 clock):	131000 evaluated; 0 wrong controls; 69916 violate mass constrain.
Tue Jul  2 13:22:31 2013, (1981280000 clock):	132000 evaluated; 0 wrong controls; 70781 violate mass constrain.
Tue Jul  2 13:22:42 2013, (1991410000 clock):	133000 evaluated; 0 wrong controls; 71640 violate mass constrain.
Tue Jul  2 13:22:52 2013, (2001670000 clock):	134000 evaluated; 0 wrong controls; 72476 violate mass constrain.
Tue Jul  2 13:23:04 2013, (2012860000 clock):	135000 evaluated; 0 wrong controls; 73241 violate mass constrain.
Tue Jul  2 13:23:20 2013, (2028970000 clock):	136000 evaluated; 0 wrong controls; 73598 violate mass constrain.
