Thu Jul  4 11:44:15 2013, (0 clock):	Start log file
Thu Jul  4 11:44:15 2013, (0 clock):	Parameters loaded.
Thu Jul  4 11:44:15 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 200
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Thu Jul  4 11:44:15 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Thu Jul  4 12:24:57 2013, (2394920000 clock):	112000 evaluated; 0 wrong controls; 51429 violate mass constrain.
Thu Jul  4 12:25:27 2013, (2424270000 clock):	113000 evaluated; 0 wrong controls; 51524 violate mass constrain.
Thu Jul  4 12:25:56 2013, (2452500000 clock):	114000 evaluated; 0 wrong controls; 51663 violate mass constrain.
Thu Jul  4 12:26:25 2013, (2481110000 clock):	115000 evaluated; 0 wrong controls; 51796 violate mass constrain.
Thu Jul  4 12:26:53 2013, (2509150000 clock):	116000 evaluated; 0 wrong controls; 51944 violate mass constrain.
Thu Jul  4 12:27:05 2013, (2520140000 clock):	117000 evaluated; 0 wrong controls; 52872 violate mass constrain.
Thu Jul  4 12:27:21 2013, (2536150000 clock):	118000 evaluated; 0 wrong controls; 53559 violate mass constrain.
Thu Jul  4 12:27:48 2013, (2562720000 clock):	119000 evaluated; 0 wrong controls; 53811 violate mass constrain.
Thu Jul  4 12:28:13 2013, (2587600000 clock):	120000 evaluated; 0 wrong controls; 54071 violate mass constrain.
Thu Jul  4 12:28:40 2013, (2614180000 clock):	121000 evaluated; 0 wrong controls; 54280 violate mass constrain.
Thu Jul  4 12:29:07 2013, (2640930000 clock):	122000 evaluated; 0 wrong controls; 54507 violate mass constrain.
Thu Jul  4 12:29:34 2013, (2667400000 clock):	123000 evaluated; 0 wrong controls; 54732 violate mass constrain.
Thu Jul  4 12:30:03 2013, (2695290000 clock):	124000 evaluated; 0 wrong controls; 54927 violate mass constrain.
Thu Jul  4 12:30:31 2013, (2723270000 clock):	125000 evaluated; 0 wrong controls; 55096 violate mass constrain.
Thu Jul  4 12:31:00 2013, (2751610000 clock):	126000 evaluated; 0 wrong controls; 55264 violate mass constrain.
