Wed Jun  5 13:58:13 2013, (0 clock):	Start log file
Wed Jun  5 13:58:13 2013, (0 clock):	Parameters loaded.
Wed Jun  5 13:58:13 2013, (0 clock):	controls:
  bounds:
    - 400
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Wed Jun  5 14:05:12 2013, (392100000 clock):	104000 evaluated; 0 wrong controls; 104000 violate mass constrain.
Wed Jun  5 14:05:16 2013, (395860000 clock):	105000 evaluated; 0 wrong controls; 105000 violate mass constrain.
Wed Jun  5 14:05:20 2013, (399610000 clock):	106000 evaluated; 0 wrong controls; 106000 violate mass constrain.
Wed Jun  5 14:05:24 2013, (403360000 clock):	107000 evaluated; 0 wrong controls; 107000 violate mass constrain.
Wed Jun  5 14:05:28 2013, (407120000 clock):	108000 evaluated; 0 wrong controls; 108000 violate mass constrain.
Wed Jun  5 14:05:32 2013, (410760000 clock):	109000 evaluated; 0 wrong controls; 109000 violate mass constrain.
Wed Jun  5 14:05:36 2013, (414670000 clock):	110000 evaluated; 0 wrong controls; 110000 violate mass constrain.
Wed Jun  5 14:05:40 2013, (418450000 clock):	111000 evaluated; 0 wrong controls; 111000 violate mass constrain.
Wed Jun  5 14:05:44 2013, (422170000 clock):	112000 evaluated; 0 wrong controls; 112000 violate mass constrain.
Wed Jun  5 14:05:48 2013, (425930000 clock):	113000 evaluated; 0 wrong controls; 113000 violate mass constrain.
Wed Jun  5 14:05:52 2013, (429650000 clock):	114000 evaluated; 0 wrong controls; 114000 violate mass constrain.
Wed Jun  5 14:05:56 2013, (433360000 clock):	115000 evaluated; 0 wrong controls; 115000 violate mass constrain.
Wed Jun  5 14:06:00 2013, (437040000 clock):	116000 evaluated; 0 wrong controls; 116000 violate mass constrain.
Wed Jun  5 14:06:03 2013, (440730000 clock):	117000 evaluated; 0 wrong controls; 117000 violate mass constrain.
Wed Jun  5 14:06:08 2013, (444570000 clock):	118000 evaluated; 0 wrong controls; 118000 violate mass constrain.
Wed Jun  5 14:06:12 2013, (448180000 clock):	119000 evaluated; 0 wrong controls; 119000 violate mass constrain.
Wed Jun  5 14:06:15 2013, (451850000 clock):	120000 evaluated; 0 wrong controls; 120000 violate mass constrain.
Wed Jun  5 14:06:20 2013, (455740000 clock):	121000 evaluated; 0 wrong controls; 121000 violate mass constrain.
Wed Jun  5 14:06:23 2013, (459420000 clock):	122000 evaluated; 0 wrong controls; 122000 violate mass constrain.
Wed Jun  5 14:06:28 2013, (463250000 clock):	123000 evaluated; 0 wrong controls; 123000 violate mass constrain.
Wed Jun  5 14:06:31 2013, (466970000 clock):	124000 evaluated; 0 wrong controls; 124000 violate mass constrain.
Wed Jun  5 14:06:35 2013, (470650000 clock):	125000 evaluated; 0 wrong controls; 125000 violate mass constrain.
