Wed Jun 12 19:19:54 2013, (0 clock):	Start log file
Wed Jun 12 19:19:54 2013, (0 clock):	Parameters loaded.
Wed Jun 12 19:19:54 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Wed Jun 12 19:31:44 2013, (685170000 clock):	171000 evaluated; 0 wrong controls; 171000 violate mass constrain.
Wed Jun 12 19:31:49 2013, (689250000 clock):	172000 evaluated; 0 wrong controls; 172000 violate mass constrain.
Wed Jun 12 19:31:53 2013, (693310000 clock):	173000 evaluated; 0 wrong controls; 173000 violate mass constrain.
Wed Jun 12 19:31:57 2013, (697330000 clock):	174000 evaluated; 0 wrong controls; 174000 violate mass constrain.
Wed Jun 12 19:32:01 2013, (701390000 clock):	175000 evaluated; 0 wrong controls; 175000 violate mass constrain.
Wed Jun 12 19:32:05 2013, (705480000 clock):	176000 evaluated; 0 wrong controls; 176000 violate mass constrain.
Wed Jun 12 19:32:09 2013, (709490000 clock):	177000 evaluated; 0 wrong controls; 177000 violate mass constrain.
Wed Jun 12 19:32:13 2013, (713270000 clock):	178000 evaluated; 0 wrong controls; 178000 violate mass constrain.
Wed Jun 12 19:32:17 2013, (717180000 clock):	179000 evaluated; 0 wrong controls; 179000 violate mass constrain.
Wed Jun 12 19:32:22 2013, (721460000 clock):	180000 evaluated; 0 wrong controls; 180000 violate mass constrain.
Wed Jun 12 19:32:26 2013, (725390000 clock):	181000 evaluated; 0 wrong controls; 181000 violate mass constrain.
