Thu Jun  6 19:33:34 2013, (0 clock):	Start log file
Thu Jun  6 19:33:34 2013, (0 clock):	Parameters loaded.
Thu Jun  6 19:33:34 2013, (0 clock):	controls:
  bounds:
    - 450
    - -450
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Thu Jun  6 20:19:46 2013, (2681630000 clock):	136000 evaluated; 0 wrong controls; 53494 violate mass constrain.
Thu Jun  6 20:20:07 2013, (2702070000 clock):	137000 evaluated; 0 wrong controls; 53818 violate mass constrain.
Thu Jun  6 20:20:28 2013, (2722920000 clock):	138000 evaluated; 0 wrong controls; 54127 violate mass constrain.
Thu Jun  6 20:20:49 2013, (2743490000 clock):	139000 evaluated; 0 wrong controls; 54459 violate mass constrain.
Thu Jun  6 20:21:10 2013, (2763940000 clock):	140000 evaluated; 0 wrong controls; 54778 violate mass constrain.
Thu Jun  6 20:21:31 2013, (2783960000 clock):	141000 evaluated; 0 wrong controls; 55133 violate mass constrain.
Thu Jun  6 20:21:52 2013, (2804730000 clock):	142000 evaluated; 0 wrong controls; 55471 violate mass constrain.
Thu Jun  6 20:22:14 2013, (2825430000 clock):	143000 evaluated; 0 wrong controls; 55787 violate mass constrain.
Thu Jun  6 20:22:35 2013, (2846430000 clock):	144000 evaluated; 0 wrong controls; 56112 violate mass constrain.
Thu Jun  6 20:22:56 2013, (2866940000 clock):	145000 evaluated; 0 wrong controls; 56444 violate mass constrain.
Thu Jun  6 20:23:17 2013, (2887560000 clock):	146000 evaluated; 0 wrong controls; 56762 violate mass constrain.
Thu Jun  6 20:23:39 2013, (2908100000 clock):	147000 evaluated; 0 wrong controls; 57097 violate mass constrain.
Thu Jun  6 20:24:00 2013, (2928920000 clock):	148000 evaluated; 0 wrong controls; 57420 violate mass constrain.
Thu Jun  6 20:24:23 2013, (2949930000 clock):	149000 evaluated; 0 wrong controls; 57762 violate mass constrain.
Thu Jun  6 20:24:45 2013, (2971720000 clock):	150000 evaluated; 0 wrong controls; 58070 violate mass constrain.
Thu Jun  6 20:25:06 2013, (2992460000 clock):	151000 evaluated; 0 wrong controls; 58438 violate mass constrain.
Thu Jun  6 20:25:28 2013, (3013630000 clock):	152000 evaluated; 0 wrong controls; 58776 violate mass constrain.
Thu Jun  6 20:25:50 2013, (3034390000 clock):	153000 evaluated; 0 wrong controls; 59116 violate mass constrain.
Thu Jun  6 20:26:11 2013, (3054540000 clock):	154000 evaluated; 0 wrong controls; 59467 violate mass constrain.
Thu Jun  6 20:26:33 2013, (3075550000 clock):	155000 evaluated; 0 wrong controls; 59784 violate mass constrain.
Thu Jun  6 20:26:53 2013, (3095870000 clock):	156000 evaluated; 0 wrong controls; 60134 violate mass constrain.
Thu Jun  6 20:27:16 2013, (3117630000 clock):	157000 evaluated; 0 wrong controls; 60453 violate mass constrain.
Thu Jun  6 20:27:38 2013, (3139390000 clock):	158000 evaluated; 0 wrong controls; 60740 violate mass constrain.
Thu Jun  6 20:27:59 2013, (3159590000 clock):	159000 evaluated; 0 wrong controls; 61082 violate mass constrain.
Thu Jun  6 20:28:21 2013, (3180820000 clock):	160000 evaluated; 0 wrong controls; 61402 violate mass constrain.
