Wed Jul  3 17:51:00 2013, (0 clock):	Start log file
Wed Jul  3 17:51:00 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:51:00 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:51:00 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 18:08:33 2013, (1006720000 clock):	108000 evaluated; 0 wrong controls; 107464 violate mass constrain.
Wed Jul  3 18:08:42 2013, (1015620000 clock):	109000 evaluated; 0 wrong controls; 108460 violate mass constrain.
Wed Jul  3 18:08:53 2013, (1025780000 clock):	110000 evaluated; 0 wrong controls; 109455 violate mass constrain.
Wed Jul  3 18:09:02 2013, (1034860000 clock):	111000 evaluated; 0 wrong controls; 110449 violate mass constrain.
Wed Jul  3 18:09:13 2013, (1044960000 clock):	112000 evaluated; 0 wrong controls; 111446 violate mass constrain.
Wed Jul  3 18:09:23 2013, (1054150000 clock):	113000 evaluated; 0 wrong controls; 112440 violate mass constrain.
Wed Jul  3 18:09:33 2013, (1064200000 clock):	114000 evaluated; 0 wrong controls; 113435 violate mass constrain.
Wed Jul  3 18:09:43 2013, (1073400000 clock):	115000 evaluated; 0 wrong controls; 114433 violate mass constrain.
Wed Jul  3 18:09:54 2013, (1083810000 clock):	116000 evaluated; 0 wrong controls; 115423 violate mass constrain.
Wed Jul  3 18:10:05 2013, (1094160000 clock):	117000 evaluated; 0 wrong controls; 116419 violate mass constrain.
Wed Jul  3 18:10:16 2013, (1104410000 clock):	118000 evaluated; 0 wrong controls; 117416 violate mass constrain.
Wed Jul  3 18:10:26 2013, (1114520000 clock):	119000 evaluated; 0 wrong controls; 118405 violate mass constrain.
Wed Jul  3 18:10:36 2013, (1123970000 clock):	120000 evaluated; 0 wrong controls; 119403 violate mass constrain.
Wed Jul  3 18:10:47 2013, (1133900000 clock):	121000 evaluated; 0 wrong controls; 120400 violate mass constrain.
Wed Jul  3 18:10:56 2013, (1142980000 clock):	122000 evaluated; 0 wrong controls; 121394 violate mass constrain.
Wed Jul  3 18:11:06 2013, (1151840000 clock):	123000 evaluated; 0 wrong controls; 122389 violate mass constrain.
Wed Jul  3 18:11:17 2013, (1162620000 clock):	124000 evaluated; 0 wrong controls; 123386 violate mass constrain.
Wed Jul  3 18:11:26 2013, (1171730000 clock):	125000 evaluated; 0 wrong controls; 124382 violate mass constrain.
Wed Jul  3 18:11:36 2013, (1181170000 clock):	126000 evaluated; 0 wrong controls; 125377 violate mass constrain.
Wed Jul  3 18:11:46 2013, (1190650000 clock):	127000 evaluated; 0 wrong controls; 126373 violate mass constrain.
Wed Jul  3 18:11:58 2013, (1201750000 clock):	128000 evaluated; 0 wrong controls; 127366 violate mass constrain.
Wed Jul  3 18:12:08 2013, (1210880000 clock):	129000 evaluated; 0 wrong controls; 128361 violate mass constrain.
Wed Jul  3 18:12:17 2013, (1219990000 clock):	130000 evaluated; 0 wrong controls; 129357 violate mass constrain.
Wed Jul  3 18:12:27 2013, (1228950000 clock):	131000 evaluated; 0 wrong controls; 130355 violate mass constrain.
Wed Jul  3 18:12:36 2013, (1238160000 clock):	132000 evaluated; 0 wrong controls; 131348 violate mass constrain.
Wed Jul  3 18:12:46 2013, (1247490000 clock):	133000 evaluated; 0 wrong controls; 132343 violate mass constrain.
Wed Jul  3 18:12:56 2013, (1257380000 clock):	134000 evaluated; 0 wrong controls; 133340 violate mass constrain.
Wed Jul  3 18:13:07 2013, (1267910000 clock):	135000 evaluated; 0 wrong controls; 134332 violate mass constrain.
Wed Jul  3 18:13:17 2013, (1277210000 clock):	136000 evaluated; 0 wrong controls; 135326 violate mass constrain.
Wed Jul  3 18:13:27 2013, (1286280000 clock):	137000 evaluated; 0 wrong controls; 136324 violate mass constrain.
Wed Jul  3 18:13:38 2013, (1296730000 clock):	138000 evaluated; 0 wrong controls; 137317 violate mass constrain.
Wed Jul  3 18:13:50 2013, (1307970000 clock):	139000 evaluated; 0 wrong controls; 138314 violate mass constrain.
Wed Jul  3 18:13:59 2013, (1316960000 clock):	140000 evaluated; 0 wrong controls; 139311 violate mass constrain.
Wed Jul  3 18:14:09 2013, (1326470000 clock):	141000 evaluated; 0 wrong controls; 140306 violate mass constrain.
Wed Jul  3 18:14:20 2013, (1336740000 clock):	142000 evaluated; 0 wrong controls; 141302 violate mass constrain.
Wed Jul  3 18:14:30 2013, (1346190000 clock):	143000 evaluated; 0 wrong controls; 142297 violate mass constrain.
Wed Jul  3 18:14:40 2013, (1356080000 clock):	144000 evaluated; 0 wrong controls; 143290 violate mass constrain.
Wed Jul  3 18:14:49 2013, (1365100000 clock):	145000 evaluated; 0 wrong controls; 144285 violate mass constrain.
Wed Jul  3 18:14:59 2013, (1374290000 clock):	146000 evaluated; 0 wrong controls; 145279 violate mass constrain.
Wed Jul  3 18:15:10 2013, (1384340000 clock):	147000 evaluated; 0 wrong controls; 146273 violate mass constrain.
Wed Jul  3 18:15:20 2013, (1393770000 clock):	148000 evaluated; 0 wrong controls; 147270 violate mass constrain.
Wed Jul  3 18:15:30 2013, (1403380000 clock):	149000 evaluated; 0 wrong controls; 148264 violate mass constrain.
Wed Jul  3 18:15:40 2013, (1413270000 clock):	150000 evaluated; 0 wrong controls; 149257 violate mass constrain.
Wed Jul  3 18:15:50 2013, (1422410000 clock):	151000 evaluated; 0 wrong controls; 150256 violate mass constrain.
Wed Jul  3 18:16:02 2013, (1432850000 clock):	152000 evaluated; 0 wrong controls; 151249 violate mass constrain.
Wed Jul  3 18:16:12 2013, (1442780000 clock):	153000 evaluated; 0 wrong controls; 152243 violate mass constrain.
Wed Jul  3 18:16:24 2013, (1453850000 clock):	154000 evaluated; 0 wrong controls; 153236 violate mass constrain.
Wed Jul  3 18:16:35 2013, (1464970000 clock):	155000 evaluated; 0 wrong controls; 154234 violate mass constrain.
Wed Jul  3 18:16:45 2013, (1473970000 clock):	156000 evaluated; 0 wrong controls; 155229 violate mass constrain.
Wed Jul  3 18:16:55 2013, (1483750000 clock):	157000 evaluated; 0 wrong controls; 156223 violate mass constrain.
Wed Jul  3 18:17:06 2013, (1494340000 clock):	158000 evaluated; 0 wrong controls; 157218 violate mass constrain.
Wed Jul  3 18:17:16 2013, (1503660000 clock):	159000 evaluated; 0 wrong controls; 158216 violate mass constrain.
Wed Jul  3 18:17:26 2013, (1513180000 clock):	160000 evaluated; 0 wrong controls; 159210 violate mass constrain.
Wed Jul  3 18:17:36 2013, (1522250000 clock):	161000 evaluated; 0 wrong controls; 160204 violate mass constrain.
Wed Jul  3 18:17:45 2013, (1531400000 clock):	162000 evaluated; 0 wrong controls; 161200 violate mass constrain.
Wed Jul  3 18:17:55 2013, (1540810000 clock):	163000 evaluated; 0 wrong controls; 162197 violate mass constrain.
Wed Jul  3 18:18:05 2013, (1549810000 clock):	164000 evaluated; 0 wrong controls; 163192 violate mass constrain.
Wed Jul  3 18:18:14 2013, (1558940000 clock):	165000 evaluated; 0 wrong controls; 164190 violate mass constrain.
Wed Jul  3 18:18:24 2013, (1568070000 clock):	166000 evaluated; 0 wrong controls; 165187 violate mass constrain.
