Tue Jun 11 16:30:02 2013, (0 clock):	Start log file
Tue Jun 11 16:30:02 2013, (0 clock):	Parameters loaded.
Tue Jun 11 16:30:02 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Tue Jun 11 16:49:58 2013, (1089420000 clock):	103000 evaluated; 0 wrong controls; 72010 violate mass constrain.
Tue Jun 11 16:50:08 2013, (1099940000 clock):	104000 evaluated; 0 wrong controls; 72659 violate mass constrain.
Tue Jun 11 16:50:19 2013, (1110150000 clock):	105000 evaluated; 0 wrong controls; 73325 violate mass constrain.
Tue Jun 11 16:50:32 2013, (1120930000 clock):	106000 evaluated; 0 wrong controls; 74032 violate mass constrain.
Tue Jun 11 16:50:43 2013, (1131840000 clock):	107000 evaluated; 0 wrong controls; 74696 violate mass constrain.
Tue Jun 11 16:50:56 2013, (1142610000 clock):	108000 evaluated; 0 wrong controls; 75379 violate mass constrain.
Tue Jun 11 16:51:08 2013, (1153630000 clock):	109000 evaluated; 0 wrong controls; 76073 violate mass constrain.
Tue Jun 11 16:51:21 2013, (1164260000 clock):	110000 evaluated; 0 wrong controls; 76758 violate mass constrain.
Tue Jun 11 16:51:31 2013, (1174000000 clock):	111000 evaluated; 0 wrong controls; 77442 violate mass constrain.
Tue Jun 11 16:51:44 2013, (1184710000 clock):	112000 evaluated; 0 wrong controls; 78152 violate mass constrain.
Tue Jun 11 16:51:54 2013, (1194380000 clock):	113000 evaluated; 0 wrong controls; 78848 violate mass constrain.
