Sat Jul  6 09:28:11 2013, (0 clock):	Start log file
Sat Jul  6 09:28:11 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:11 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:11 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 11:25:37 2013, (7000630000 clock):	88000 evaluated; 0 wrong controls; 5736 violate mass constrain.
Sat Jul  6 11:26:56 2013, (7079520000 clock):	89000 evaluated; 0 wrong controls; 5736 violate mass constrain.
Sat Jul  6 11:28:15 2013, (7158450000 clock):	90000 evaluated; 0 wrong controls; 5736 violate mass constrain.
Sat Jul  6 11:29:34 2013, (7236560000 clock):	91000 evaluated; 0 wrong controls; 5736 violate mass constrain.
Sat Jul  6 11:30:52 2013, (7314170000 clock):	92000 evaluated; 0 wrong controls; 5736 violate mass constrain.
Sat Jul  6 11:32:11 2013, (7392460000 clock):	93000 evaluated; 0 wrong controls; 5736 violate mass constrain.
Sat Jul  6 11:33:30 2013, (7471320000 clock):	94000 evaluated; 0 wrong controls; 5736 violate mass constrain.
Sat Jul  6 11:34:50 2013, (7550450000 clock):	95000 evaluated; 0 wrong controls; 5736 violate mass constrain.
Sat Jul  6 11:36:08 2013, (7628160000 clock):	96000 evaluated; 0 wrong controls; 5817 violate mass constrain.
Sat Jul  6 11:37:21 2013, (7700060000 clock):	97000 evaluated; 0 wrong controls; 6209 violate mass constrain.
Sat Jul  6 11:38:39 2013, (7778180000 clock):	98000 evaluated; 0 wrong controls; 6231 violate mass constrain.
Sat Jul  6 11:39:59 2013, (7857770000 clock):	99000 evaluated; 0 wrong controls; 6231 violate mass constrain.
Sat Jul  6 11:41:19 2013, (7936700000 clock):	100000 evaluated; 0 wrong controls; 6231 violate mass constrain.
Sat Jul  6 11:42:37 2013, (8015080000 clock):	101000 evaluated; 0 wrong controls; 6231 violate mass constrain.
Sat Jul  6 11:43:57 2013, (8094100000 clock):	102000 evaluated; 0 wrong controls; 6231 violate mass constrain.
Sat Jul  6 11:45:19 2013, (8175700000 clock):	103000 evaluated; 0 wrong controls; 6231 violate mass constrain.
Sat Jul  6 11:46:39 2013, (8255160000 clock):	104000 evaluated; 0 wrong controls; 6231 violate mass constrain.
Sat Jul  6 11:47:58 2013, (8333630000 clock):	105000 evaluated; 0 wrong controls; 6231 violate mass constrain.
Sat Jul  6 11:49:17 2013, (8412560000 clock):	106000 evaluated; 0 wrong controls; 6238 violate mass constrain.
Sat Jul  6 11:50:31 2013, (8485340000 clock):	107000 evaluated; 0 wrong controls; 6663 violate mass constrain.
Sat Jul  6 11:51:49 2013, (8563550000 clock):	108000 evaluated; 0 wrong controls; 6697 violate mass constrain.
Sat Jul  6 11:53:08 2013, (8641860000 clock):	109000 evaluated; 0 wrong controls; 6697 violate mass constrain.
Sat Jul  6 11:54:30 2013, (8723120000 clock):	110000 evaluated; 0 wrong controls; 6697 violate mass constrain.
Sat Jul  6 11:55:49 2013, (8802050000 clock):	111000 evaluated; 0 wrong controls; 6697 violate mass constrain.
