Tue Jun  4 12:23:36 2013, (0 clock):	Start log file
Tue Jun  4 12:23:36 2013, (0 clock):	Parameters loaded.
Tue Jun  4 12:23:36 2013, (0 clock):	controls:
  bounds:
    - 40
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Tue Jun  4 12:32:29 2013, (504210000 clock):	136000 evaluated; 0 wrong controls; 136000 violate mass constrain.
Tue Jun  4 12:32:33 2013, (507870000 clock):	137000 evaluated; 0 wrong controls; 137000 violate mass constrain.
Tue Jun  4 12:32:37 2013, (511500000 clock):	138000 evaluated; 0 wrong controls; 138000 violate mass constrain.
Tue Jun  4 12:32:41 2013, (515160000 clock):	139000 evaluated; 0 wrong controls; 139000 violate mass constrain.
Tue Jun  4 12:32:45 2013, (518800000 clock):	140000 evaluated; 0 wrong controls; 140000 violate mass constrain.
Tue Jun  4 12:32:49 2013, (522450000 clock):	141000 evaluated; 0 wrong controls; 141000 violate mass constrain.
Tue Jun  4 12:32:52 2013, (526110000 clock):	142000 evaluated; 0 wrong controls; 142000 violate mass constrain.
Tue Jun  4 12:32:56 2013, (529730000 clock):	143000 evaluated; 0 wrong controls; 143000 violate mass constrain.
Tue Jun  4 12:33:00 2013, (533330000 clock):	144000 evaluated; 0 wrong controls; 144000 violate mass constrain.
Tue Jun  4 12:33:04 2013, (536950000 clock):	145000 evaluated; 0 wrong controls; 145000 violate mass constrain.
Tue Jun  4 12:33:08 2013, (540580000 clock):	146000 evaluated; 0 wrong controls; 146000 violate mass constrain.
Tue Jun  4 12:33:12 2013, (544220000 clock):	147000 evaluated; 0 wrong controls; 147000 violate mass constrain.
Tue Jun  4 12:33:16 2013, (547840000 clock):	148000 evaluated; 0 wrong controls; 148000 violate mass constrain.
Tue Jun  4 12:33:20 2013, (551500000 clock):	149000 evaluated; 0 wrong controls; 149000 violate mass constrain.
Tue Jun  4 12:33:24 2013, (555220000 clock):	150000 evaluated; 0 wrong controls; 150000 violate mass constrain.
Tue Jun  4 12:33:28 2013, (558860000 clock):	151000 evaluated; 0 wrong controls; 151000 violate mass constrain.
Tue Jun  4 12:33:32 2013, (562550000 clock):	152000 evaluated; 0 wrong controls; 152000 violate mass constrain.
Tue Jun  4 12:33:35 2013, (566180000 clock):	153000 evaluated; 0 wrong controls; 153000 violate mass constrain.
Tue Jun  4 12:33:39 2013, (569780000 clock):	154000 evaluated; 0 wrong controls; 154000 violate mass constrain.
Tue Jun  4 12:33:43 2013, (573390000 clock):	155000 evaluated; 0 wrong controls; 155000 violate mass constrain.
Tue Jun  4 12:33:47 2013, (577030000 clock):	156000 evaluated; 0 wrong controls; 156000 violate mass constrain.
Tue Jun  4 12:33:51 2013, (580630000 clock):	157000 evaluated; 0 wrong controls; 157000 violate mass constrain.
Tue Jun  4 12:33:55 2013, (584280000 clock):	158000 evaluated; 0 wrong controls; 158000 violate mass constrain.
Tue Jun  4 12:33:59 2013, (587970000 clock):	159000 evaluated; 0 wrong controls; 159000 violate mass constrain.
Tue Jun  4 12:34:03 2013, (591610000 clock):	160000 evaluated; 0 wrong controls; 160000 violate mass constrain.
Tue Jun  4 12:34:07 2013, (595200000 clock):	161000 evaluated; 0 wrong controls; 161000 violate mass constrain.
Tue Jun  4 12:34:10 2013, (598800000 clock):	162000 evaluated; 0 wrong controls; 162000 violate mass constrain.
Tue Jun  4 12:34:15 2013, (602400000 clock):	163000 evaluated; 0 wrong controls; 163000 violate mass constrain.
Tue Jun  4 12:34:18 2013, (606030000 clock):	164000 evaluated; 0 wrong controls; 164000 violate mass constrain.
Tue Jun  4 12:34:22 2013, (609730000 clock):	165000 evaluated; 0 wrong controls; 165000 violate mass constrain.
Tue Jun  4 12:34:26 2013, (613590000 clock):	166000 evaluated; 0 wrong controls; 166000 violate mass constrain.
Tue Jun  4 12:34:30 2013, (617330000 clock):	167000 evaluated; 0 wrong controls; 167000 violate mass constrain.
Tue Jun  4 12:34:34 2013, (621020000 clock):	168000 evaluated; 0 wrong controls; 168000 violate mass constrain.
Tue Jun  4 12:34:38 2013, (624630000 clock):	169000 evaluated; 0 wrong controls; 169000 violate mass constrain.
Tue Jun  4 12:34:42 2013, (628270000 clock):	170000 evaluated; 0 wrong controls; 170000 violate mass constrain.
Tue Jun  4 12:34:46 2013, (631860000 clock):	171000 evaluated; 0 wrong controls; 171000 violate mass constrain.
Tue Jun  4 12:34:50 2013, (635760000 clock):	172000 evaluated; 0 wrong controls; 172000 violate mass constrain.
Tue Jun  4 12:34:54 2013, (639440000 clock):	173000 evaluated; 0 wrong controls; 173000 violate mass constrain.
Tue Jun  4 12:34:58 2013, (643120000 clock):	174000 evaluated; 0 wrong controls; 174000 violate mass constrain.
Tue Jun  4 12:35:01 2013, (646740000 clock):	175000 evaluated; 0 wrong controls; 175000 violate mass constrain.
Tue Jun  4 12:35:06 2013, (650650000 clock):	176000 evaluated; 0 wrong controls; 176000 violate mass constrain.
Tue Jun  4 12:35:09 2013, (654250000 clock):	177000 evaluated; 0 wrong controls; 177000 violate mass constrain.
Tue Jun  4 12:35:13 2013, (657860000 clock):	178000 evaluated; 0 wrong controls; 178000 violate mass constrain.
Tue Jun  4 12:35:17 2013, (661490000 clock):	179000 evaluated; 0 wrong controls; 179000 violate mass constrain.
Tue Jun  4 12:35:21 2013, (665120000 clock):	180000 evaluated; 0 wrong controls; 180000 violate mass constrain.
Tue Jun  4 12:35:25 2013, (668970000 clock):	181000 evaluated; 0 wrong controls; 181000 violate mass constrain.
Tue Jun  4 12:35:29 2013, (672550000 clock):	182000 evaluated; 0 wrong controls; 182000 violate mass constrain.
Tue Jun  4 12:35:33 2013, (676170000 clock):	183000 evaluated; 0 wrong controls; 183000 violate mass constrain.
Tue Jun  4 12:35:37 2013, (679850000 clock):	184000 evaluated; 0 wrong controls; 184000 violate mass constrain.
Tue Jun  4 12:35:40 2013, (683450000 clock):	185000 evaluated; 0 wrong controls; 185000 violate mass constrain.
Tue Jun  4 12:35:44 2013, (687120000 clock):	186000 evaluated; 0 wrong controls; 186000 violate mass constrain.
Tue Jun  4 12:35:48 2013, (690730000 clock):	187000 evaluated; 0 wrong controls; 187000 violate mass constrain.
Tue Jun  4 12:35:52 2013, (694420000 clock):	188000 evaluated; 0 wrong controls; 188000 violate mass constrain.
Tue Jun  4 12:35:56 2013, (698050000 clock):	189000 evaluated; 0 wrong controls; 189000 violate mass constrain.
Tue Jun  4 12:36:00 2013, (701650000 clock):	190000 evaluated; 0 wrong controls; 190000 violate mass constrain.
Tue Jun  4 12:36:03 2013, (705390000 clock):	191000 evaluated; 0 wrong controls; 191000 violate mass constrain.
Tue Jun  4 12:36:07 2013, (708970000 clock):	192000 evaluated; 0 wrong controls; 192000 violate mass constrain.
Tue Jun  4 12:36:11 2013, (712560000 clock):	193000 evaluated; 0 wrong controls; 193000 violate mass constrain.
Tue Jun  4 12:36:15 2013, (716320000 clock):	194000 evaluated; 0 wrong controls; 194000 violate mass constrain.
Tue Jun  4 12:36:19 2013, (720000000 clock):	195000 evaluated; 0 wrong controls; 195000 violate mass constrain.
Tue Jun  4 12:36:23 2013, (723610000 clock):	196000 evaluated; 0 wrong controls; 196000 violate mass constrain.
Tue Jun  4 12:36:26 2013, (727230000 clock):	197000 evaluated; 0 wrong controls; 197000 violate mass constrain.
Tue Jun  4 12:36:30 2013, (730890000 clock):	198000 evaluated; 0 wrong controls; 198000 violate mass constrain.
Tue Jun  4 12:36:34 2013, (734510000 clock):	199000 evaluated; 0 wrong controls; 199000 violate mass constrain.
Tue Jun  4 12:36:38 2013, (738110000 clock):	200000 evaluated; 0 wrong controls; 200000 violate mass constrain.
Tue Jun  4 12:36:42 2013, (741860000 clock):	201000 evaluated; 0 wrong controls; 201000 violate mass constrain.
Tue Jun  4 12:36:46 2013, (745680000 clock):	202000 evaluated; 0 wrong controls; 202000 violate mass constrain.
Tue Jun  4 12:36:50 2013, (749380000 clock):	203000 evaluated; 0 wrong controls; 203000 violate mass constrain.
Tue Jun  4 12:36:54 2013, (753140000 clock):	204000 evaluated; 0 wrong controls; 204000 violate mass constrain.
Tue Jun  4 12:36:58 2013, (756750000 clock):	205000 evaluated; 0 wrong controls; 205000 violate mass constrain.
Tue Jun  4 12:37:02 2013, (760370000 clock):	206000 evaluated; 0 wrong controls; 206000 violate mass constrain.
