Tue Jul  9 13:59:21 2013, (0 clock):	Start log file
Tue Jul  9 13:59:21 2013, (0 clock):	Parameters loaded.
Tue Jul  9 13:59:21 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 400
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 5
    - 15
    - 4
  type: IDW
Tue Jul  9 14:39:49 2013, (2405460000 clock):	96000 evaluated; 0 wrong controls; 85900 violate mass constrain.
Tue Jul  9 14:40:11 2013, (2427950000 clock):	97000 evaluated; 0 wrong controls; 86899 violate mass constrain.
Tue Jul  9 14:40:35 2013, (2451200000 clock):	98000 evaluated; 0 wrong controls; 87855 violate mass constrain.
Tue Jul  9 14:40:59 2013, (2475380000 clock):	99000 evaluated; 0 wrong controls; 88770 violate mass constrain.
Tue Jul  9 14:41:25 2013, (2501200000 clock):	100000 evaluated; 0 wrong controls; 89630 violate mass constrain.
Tue Jul  9 14:41:50 2013, (2526090000 clock):	101000 evaluated; 0 wrong controls; 90515 violate mass constrain.
Tue Jul  9 14:42:16 2013, (2552180000 clock):	102000 evaluated; 0 wrong controls; 91372 violate mass constrain.
Tue Jul  9 14:42:43 2013, (2578730000 clock):	103000 evaluated; 0 wrong controls; 92201 violate mass constrain.
Tue Jul  9 14:43:10 2013, (2605680000 clock):	104000 evaluated; 0 wrong controls; 93032 violate mass constrain.
Tue Jul  9 14:43:36 2013, (2631300000 clock):	105000 evaluated; 0 wrong controls; 93894 violate mass constrain.
Tue Jul  9 14:44:02 2013, (2656910000 clock):	106000 evaluated; 0 wrong controls; 94768 violate mass constrain.
Tue Jul  9 14:44:25 2013, (2679410000 clock):	107000 evaluated; 0 wrong controls; 95768 violate mass constrain.
Tue Jul  9 14:44:48 2013, (2702670000 clock):	108000 evaluated; 0 wrong controls; 96734 violate mass constrain.
Tue Jul  9 14:45:12 2013, (2726630000 clock):	109000 evaluated; 0 wrong controls; 97658 violate mass constrain.
Tue Jul  9 14:45:38 2013, (2751740000 clock):	110000 evaluated; 0 wrong controls; 98557 violate mass constrain.
Tue Jul  9 14:46:04 2013, (2777550000 clock):	111000 evaluated; 0 wrong controls; 99421 violate mass constrain.
Tue Jul  9 14:46:30 2013, (2803770000 clock):	112000 evaluated; 0 wrong controls; 100244 violate mass constrain.
Tue Jul  9 14:46:57 2013, (2830050000 clock):	113000 evaluated; 0 wrong controls; 101110 violate mass constrain.
Tue Jul  9 14:47:24 2013, (2856950000 clock):	114000 evaluated; 0 wrong controls; 101929 violate mass constrain.
Tue Jul  9 14:47:50 2013, (2883290000 clock):	115000 evaluated; 0 wrong controls; 102761 violate mass constrain.
Tue Jul  9 14:48:19 2013, (2911340000 clock):	116000 evaluated; 0 wrong controls; 103532 violate mass constrain.
Tue Jul  9 14:48:42 2013, (2934590000 clock):	117000 evaluated; 0 wrong controls; 104513 violate mass constrain.
Tue Jul  9 14:49:05 2013, (2957370000 clock):	118000 evaluated; 0 wrong controls; 105504 violate mass constrain.
Tue Jul  9 14:49:29 2013, (2981350000 clock):	119000 evaluated; 0 wrong controls; 106455 violate mass constrain.
Tue Jul  9 14:49:53 2013, (3005200000 clock):	120000 evaluated; 0 wrong controls; 107404 violate mass constrain.
Tue Jul  9 14:50:18 2013, (3029810000 clock):	121000 evaluated; 0 wrong controls; 108314 violate mass constrain.
Tue Jul  9 14:50:46 2013, (3056990000 clock):	122000 evaluated; 0 wrong controls; 109110 violate mass constrain.
Tue Jul  9 14:51:13 2013, (3084150000 clock):	123000 evaluated; 0 wrong controls; 109910 violate mass constrain.
Tue Jul  9 14:51:40 2013, (3110600000 clock):	124000 evaluated; 0 wrong controls; 110729 violate mass constrain.
Tue Jul  9 14:52:06 2013, (3136950000 clock):	125000 evaluated; 0 wrong controls; 111553 violate mass constrain.
Tue Jul  9 14:52:32 2013, (3162950000 clock):	126000 evaluated; 0 wrong controls; 112377 violate mass constrain.
Tue Jul  9 14:52:56 2013, (3186650000 clock):	127000 evaluated; 0 wrong controls; 113340 violate mass constrain.
Tue Jul  9 14:53:21 2013, (3211110000 clock):	128000 evaluated; 0 wrong controls; 114280 violate mass constrain.
Tue Jul  9 14:53:46 2013, (3236240000 clock):	129000 evaluated; 0 wrong controls; 115171 violate mass constrain.
Tue Jul  9 14:54:12 2013, (3261910000 clock):	130000 evaluated; 0 wrong controls; 116028 violate mass constrain.
Tue Jul  9 14:54:38 2013, (3287790000 clock):	131000 evaluated; 0 wrong controls; 116878 violate mass constrain.
Tue Jul  9 14:55:06 2013, (3314950000 clock):	132000 evaluated; 0 wrong controls; 117665 violate mass constrain.
Tue Jul  9 14:55:34 2013, (3343060000 clock):	133000 evaluated; 0 wrong controls; 118432 violate mass constrain.
Tue Jul  9 14:56:02 2013, (3370540000 clock):	134000 evaluated; 0 wrong controls; 119228 violate mass constrain.
Tue Jul  9 14:56:29 2013, (3397500000 clock):	135000 evaluated; 0 wrong controls; 120034 violate mass constrain.
Tue Jul  9 14:56:56 2013, (3424960000 clock):	136000 evaluated; 0 wrong controls; 120862 violate mass constrain.
Tue Jul  9 14:57:20 2013, (3448640000 clock):	137000 evaluated; 0 wrong controls; 121796 violate mass constrain.
Tue Jul  9 14:57:44 2013, (3471720000 clock):	138000 evaluated; 0 wrong controls; 122767 violate mass constrain.
Tue Jul  9 14:58:08 2013, (3496160000 clock):	139000 evaluated; 0 wrong controls; 123703 violate mass constrain.
Tue Jul  9 14:58:33 2013, (3520700000 clock):	140000 evaluated; 0 wrong controls; 124634 violate mass constrain.
Tue Jul  9 14:58:58 2013, (3545490000 clock):	141000 evaluated; 0 wrong controls; 125534 violate mass constrain.
Tue Jul  9 14:59:23 2013, (3570470000 clock):	142000 evaluated; 0 wrong controls; 126400 violate mass constrain.
Tue Jul  9 14:59:49 2013, (3595760000 clock):	143000 evaluated; 0 wrong controls; 127269 violate mass constrain.
Tue Jul  9 15:00:15 2013, (3621390000 clock):	144000 evaluated; 0 wrong controls; 128104 violate mass constrain.
Tue Jul  9 15:00:41 2013, (3647700000 clock):	145000 evaluated; 0 wrong controls; 128931 violate mass constrain.
